id,name,code,value,isVariantAttribute
1,Loại Tivi,lo_i_tivi,"[""Smart Tivi QLED"", ""Google Tivi"", ""Smart Tivi""]",False
2,Kích cỡ màn hình,k_ch_c_m_n_h_nh,"[""55 inch"", ""43 inch"", ""55 Inch"", ""65 inch"", ""85 Inch"", ""32 inch""]",False
3,Độ phân giải,ph_n_gi_i,"[""4K (Ultra HD)"", ""HD"", ""Ultra HD 4K"", ""32MP"", ""12 MP"", ""32 MP"", ""5 MP"", ""13 MP"", ""Retina (2560 x 1600)"", ""Liquid Retina (2560 x 1664)"", ""Liquid Retina XDR display (3024 x 1964)"", ""2 Camera 12 MP"", ""2MP"", ""324 x 394 pixels"", ""432 x 432 pixels"", ""490 \u00d7 192 pixels"", ""172 x 320 pixels"", ""410 x 502 pixels"", ""396 x 396 pixels"", ""320 x 385 pixels"", ""480 x 480 pixels"", ""(480 x 480) pixels""]",False
4,Loại màn hình,lo_i_m_n_h_nh,"[""LED vi\u1ec1n k\u1ebft h\u1ee3p Dual LED"", ""LED n\u1ec1n (Direct LED)"", ""LED n\u1ec1n (Direct LED), Kh\u00f4ng"", ""LED n\u1ec1n (Dual LED)"", ""LED n\u1ec1n (Direct LED), VA LCD""]",False
5,Hệ điều hành,h_i_u_h_nh,"[""Tizen"", ""Google TV"", ""WebOS 24"", ""Android 11"", ""Android 15"", ""iOS 18"", ""iOS 17"", ""Android 13"", ""Android 14"", ""MacOS"", ""macOS"", ""iPadOS 17"", ""macOS Sequoia"", ""watchOS phi\u00ean b\u1ea3n m\u1edbi nh\u1ea5t"", ""Wear OS \u0111\u01b0\u1ee3c cung c\u1ea5p b\u1edfi Samsung"", ""HyperOS"", ""Wear OS \u0111\u01b0\u1ee3c t\u00f9y bi\u1ebfn b\u1edfi Samsung""]",False
6,Chất liệu chân đế,ch_t_li_u_ch_n,"[""Kim lo\u1ea1i"", ""Nh\u1ef1a"", ""V\u1ecf nh\u1ef1a l\u00f5i kim lo\u1ea1i""]",False
7,Chất liệu viền tivi,ch_t_li_u_vi_n_tivi,"[""Kim lo\u1ea1i"", ""Nh\u1ef1a""]",False
8,Công nghệ hình ảnh,c_ng_ngh_h_nh_nh,"[""- Supreme UHD Dimming  - Quantum HDR  - Quantum Dot hi\u1ec3n th\u1ecb 100% d\u1ea3i m\u00e0u  - N\u00e2ng c\u1ea5p \u0111\u1ed9 ph\u00e2n gi\u1ea3i 4K AI Upscaling  - Chuy\u1ec3n \u0111\u1ed9ng m\u01b0\u1ee3t Motion Xcelerator  - Super Ultra Wide Game View & Game Bar  - Gi\u1ea3m \u0111\u1ed9 tr\u1ec5 ch\u01a1i game Auto Low Latency Mode (ALLM)  - C\u0103n ch\u1ec9nh h\u00ecnh \u1ea3nh t\u1ef1 \u0111\u1ed9ng b\u1ea3o v\u1ec7 m\u1eaft EyeComfort  - Ch\u1ebf \u0111\u1ed9 Game Motion Plus"", ""- T\u0103ng c\u01b0\u1eddng m\u00e0u s\u1eafc Triluminos Pro  - HLG  - HDR10  - Dolby Vision  - N\u00e2ng c\u1ea5p h\u00ecnh \u1ea3nh 4K X-Reality PRO  - Tinh n\u0103ng Game Menu  - Chuy\u1ec3n \u0111\u1ed9ng m\u01b0\u1ee3t Motionflow XR 200  - Gi\u1ea3m \u0111\u1ed9 tr\u1ec5 ch\u01a1i game Auto Low Latency Mode (ALLM)"", ""- N\u00e2ng c\u1ea5p \u0111\u1ed9 ph\u00e2n gi\u1ea3i 4K AI Upscaling  - HDR10  - HDR Dynamic Tone Mapping  - Gi\u1ea3m \u0111\u1ed9 tr\u1ec5 ch\u01a1i game Auto Low Latency Mode (ALLM)  - Ch\u1ebf \u0111\u1ed9 game HGiG"", ""- N\u00e2ng c\u1ea5p \u0111\u1ed9 t\u01b0\u01a1ng ph\u1ea3n Contrast Enhancer  - HDR10  - Dynamic Crystal Color  - Ki\u1ec3m so\u00e1t \u0111\u00e8n n\u1ec1n UHD Dimming  - N\u00e2ng c\u1ea5p h\u00ecnh \u1ea3nh AI 4K Upscaling  - Chuy\u1ec3n \u0111\u1ed9ng m\u01b0\u1ee3t Motion Xcelerator  - Gi\u1ea3m \u0111\u1ed9 tr\u1ec5 ch\u01a1i game Auto Low Latency Mode (ALLM)"", ""HDR10"", ""- T\u1ed1i \u01b0u \u0111\u1ed9 s\u00e1ng HDR Brightness Optimizer  - Quantum Dot hi\u1ec3n th\u1ecb 100% d\u1ea3i m\u00e0u  - Ki\u1ec3m so\u00e1t \u0111\u00e8n n\u1ec1n UHD Dimming  - N\u00e2ng c\u1ea5p \u0111\u1ed9 ph\u00e2n gi\u1ea3i 4K AI Upscaling  - Ch\u1ed1ng x\u00e9 h\u00ecnh FreeSync Premium  - Chuy\u1ec3n \u0111\u1ed9ng m\u01b0\u1ee3t Motion Xcelerator  - Super Ultra Wide Game View & Game Bar  - G\u00f3c nh\u00ecn r\u1ed9ng Wide Viewing Angle  - Gi\u1ea3m \u0111\u1ed9 tr\u1ec5 ch\u01a1i game Auto Low Latency Mode (ALLM)  - Game Motion"", ""- D\u1ea3i m\u00e0u r\u1ed9ng Wide Color Gamut  - HDR10  - HLG  - Smart HDR  - Game Mode""]",False
9,Bộ xử lý,b_x_l,"[""B\u1ed9 x\u1eed l\u00fd Quantum 4K Lite"", ""B\u1ed9 x\u1eed l\u00fd X1 4K HDR"", ""B\u1ed9 x\u1eed l\u00fd \u03b15 AI Processor 4K Gen7"", ""B\u1ed9 x\u1eed l\u00fd Crystal 4K"", ""B\u1ed9 x\u1eed l\u00fd AI NQ4 th\u1ebf h\u1ec7 2"", ""B\u1ed9 x\u1eed l\u00fd AiPQ Gen 2""]",False
10,Tần số quét thực,t_n_s_qu_t_th_c,"[""60 Hz"", ""50Hz / 60Hz"", ""120 Hz""]",False
11,Tổng công suất loa,t_ng_c_ng_su_t_loa,"[""20W"", ""19 W""]",False
12,Số lượng loa,s_l_ng_loa,"[""H\u00e3ng ch\u01b0a c\u00f4ng b\u1ed1"", ""2 loa"", ""2 Loa""]",False
13,Âm thanh vòm,m_thanh_v_m,"[""\u00c2m thanh chuy\u1ec3n \u0111\u1ed9ng theo h\u00ecnh \u1ea3nh OTS"", ""Dolby Atmos, DTS Digital Surround"", ""Dolby Audio"", ""Dolby Audio, DTS""]",False
14,Các công nghệ khác,c_c_c_ng_ngh_kh_c,"[""Q-Symphony Next k\u1ebft h\u1ee3p loa tivi v\u1edbi loa thanh b\u1eb1ng AI, Adaptive Sound"", ""- B\u1ed9 khu\u1ebfch \u0111\u1ea1i \u00e2m thanh S-Master Digital Amplifier  - T\u0103ng ch\u1ea5t l\u01b0\u1ee3ng \u00e2m thanh v\u1edbi loa X-Balanced"", ""- \u0110\u1ed3ng b\u1ed9 h\u00f3a \u00e2m thanh LG Sound Sync  - TV Sound Mode Share  - AI Sound Pro (Virtual 9.1.2 Up-mix)"", ""- Q-Symphony Next k\u1ebft h\u1ee3p loa tivi v\u1edbi loa thanh b\u1eb1ng AI  - Adaptive Sound"", ""B\u1ed9 khu\u1ebfch \u0111\u1ea1i \u00e2m thanh S-Master Digital Amplifier, T\u0103ng ch\u1ea5t l\u01b0\u1ee3ng \u00e2m thanh v\u1edbi loa X-Balanced"", ""- Q-Symphony Next k\u1ebft h\u1ee3p loa tivi v\u1edbi loa thanh b\u1eb1ng AI  - Far Field Voice t\u00ecm ki\u1ebfm gi\u1ecdng n\u00f3i t\u1eeb xa  - Active Voice Amplifier \u0111i\u1ec1u ch\u1ec9nh \u00e2m h\u1ed9i tho\u1ea1i theo m\u00f4i tr\u01b0\u1eddng  - Adaptive Sound Pro""]",False
15,Kết nối Internet,k_t_n_i_internet,"[""Wifi, C\u1ed5ng m\u1ea1ng LAN"", ""C\u1ed5ng m\u1ea1ng LAN, Wifi""]",False
16,Kết nối không dây,k_t_n_i_kh_ng_d_y,"[""Bluetooth (K\u1ebft n\u1ed1i loa, thi\u1ebft b\u1ecb di \u0111\u1ed9ng)"", ""Bluetooth (K\u1ebft n\u1ed1i b\u00e0n ph\u00edm, chu\u1ed9t)"", ""Bluetooth"", ""Bluetooth 5.0"", ""Bluetooth 5.2"", ""Bluetooth 5.1"", ""Bluetooth 4.0"", ""Bluetooth 5.5"", ""Wi-Fi 6 (802.11ax), Bluetooth 5.3"", ""Wi-Fi 6E (802.11ax) , Bluetooth 5.3""]",False
17,USB,usb,"[""2 c\u1ed5ng USB A"", ""1 c\u1ed5ng USB A""]",False
18,"Cổng nhận hình ảnh, âm thanh",c_ng_nh_n_h_nh_nh_m_thanh,"[""3 c\u1ed5ng HDMI c\u00f3 1 c\u1ed5ng HDMI eARC (ARC)"", ""4 c\u1ed5ng HDMI c\u00f3 1 c\u1ed5ng HDMI eARC (ARC)"", ""4 c\u1ed5ng HDMI c\u00f3 1 c\u1ed5ng HDMI eARC (ARC), 1 c\u1ed5ng Composite"", ""HDMI x 2"", ""3 c\u1ed5ng HDMI c\u00f3 1 c\u1ed5ng HDMI eARC (ARC), 1 c\u1ed5ng Composite""]",False
19,Điều khiển tivi bằng điện thoại,i_u_khi_n_tivi_b_ng_i_n_tho_i,"[""SmartThings"", ""\u1ee8ng d\u1ee5ng LG ThinQ"", ""\u1ee8ng d\u1ee5ng Android TV""]",False
20,Điều khiển bằng giọng nói,i_u_khi_n_b_ng_gi_ng_n_i,"[""T\u00ecm ki\u1ebfm gi\u1ecdng n\u00f3i tr\u00ean YouTube b\u1eb1ng ti\u1ebfng Vi\u1ec7t, Bixby c\u00f3 ti\u1ebfng Vi\u1ec7t"", ""Google Assistant c\u00f3 ti\u1ebfng Vi\u1ec7t"", ""- T\u00ecm ki\u1ebfm gi\u1ecdng n\u00f3i tr\u00ean YouTube b\u1eb1ng ti\u1ebfng Vi\u1ec7t  - Bixby c\u00f3 ti\u1ebfng Vi\u1ec7t"", ""- T\u00ecm ki\u1ebfm gi\u1ecdng n\u00f3i tr\u00ean YouTube b\u1eb1ng ti\u1ebfng Vi\u1ec7t  - Google Assistant c\u00f3 ti\u1ebfng Vi\u1ec7t""]",False
