id,name,logoPath,description,isActive
1,sony,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_24/sony_icon_418.png,,True
2,samsung,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_16/samsung_icon_195.png,,True
3,lg,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_15/lg_icon_695.png,,True
4,tcl,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_119/tcl_icon_940.png,,True
5,toshiba,"https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_25/toshiba_icon_688.png",,True
6,hisense,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_532/hisense_icon_73.png,,True
7,casper,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_403/casper_icon_686.png,,True
8,coocaa,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_474/coocaa_icon_441.png,,True
9,xiaomi,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_383/xiaomi_icon_557.png,,True
10,skyworth,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_289/skyworth_icon_5.png,,True
11,panasonic,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_57/panasonic_icon_438.png,,True
12,sharp,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_61/sharp_icon_302.png,,True
13,nanomax,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_78/nanomax_icon_322.png,,True
14,dalton,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_376/dalton_icon_789.png,,True
15,bn-audio,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_67/bn-audio_icon_886.png,,True
16,bossinon,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_372/bossinon_icon_228.png,,True
17,paramax,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_83/paramax_icon_276.png,,True
18,birici,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_418/birici_icon_800.png,,True
19,icore,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_473/icore_icon_292.png,,True
20,boston-audio,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_69/boston-audio_icon_584.png,,True
21,microtek,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_37/microtek_icon_696.png,,True
22,jammy,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_373/jammy_icon_319.png,,True
23,acnos,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_66/acnos_icon_813.png,,True
24,mobell,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_507/mobell_icon_489.png,,True
25,zenbos,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_90/zenbos_icon_460.png,,True
